"","","Min","Smp","Avg","Avg","Avg","WVc","WVc","WVc","Max","Avg","Max","Avg","Max","Avg","Avg","Tot","Max","TMx","Avg","Avg","Smp","Smp","Avg","Std","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2018-12-27 21:00:00",641,13.73,2.267,2.178,89.1,0.564,1.906,100.1,48.41,7.462,1.108,5.185,1.493,6.744,100.2,101,0,0,"2018-12-27 20:30:01",-0.009,174.8,0,0,501.3,7.046,-0.673,0.067,-0.369,-3.666,2.113,275.3,-0.739,3.296,0.046,-1.042,-3.599,2.557,325.2,321.9,0.228,0.283,0.286,0.28,0.217,0.051,0.078,0.07,0.032,0.04,1.1,2.4,3.2,3.893,4.923,-11.7,1.5
"2018-12-27 21:30:00",642,13.73,2.347,2.032,93.3,1.062,1.898,104.6,43.46,6.668,1.09,4.61,1.558,6.184,100.2,100.9,0,0,"2018-12-27 21:00:01",-0.009,175.7,0,0,502.3,7.268,-1.46,0.365,-2.297,-3.311,1.899,275,-1.826,1.015,-0.266,-3.757,-2.946,-0.811,322.2,321.2,0.227,0.283,0.286,0.28,0.217,0.05,0.078,0.07,0.033,0.04,1.1,2.373,3.2,3.897,4.927,-11.7,1.5
"2018-12-27 22:00:00",643,13.72,2.381,2.054,95.4,1.392,1.457,109,48.57,6.263,0.854,2.786,1.247,5.585,100,100.8,0,0,"2018-12-27 21:30:01",-0.009,179.7,0,0,499.6,6.799,-0.831,0.449,0.228,-2.986,1.922,275.1,-1.28,3.214,-0.555,-0.603,-2.537,1.934,324.8,321.6,0.222,0.283,0.286,0.28,0.217,0.05,0.077,0.07,0.036,0.04,1.1,2.383,3.2,3.89,4.92,-11.7,1.5
"2018-12-27 22:30:00",644,13.72,2.462,2.147,98.1,1.885,1.72,113.2,38.55,5.921,0.835,2.653,1.292,4.343,100,100.7,0.5,0,"2018-12-27 22:00:01",-0.009,196.4,0,0,499,6.709,-0.499,0.336,1.25,-2.878,2.057,275.2,-0.835,4.128,-0.747,0.751,-2.542,3.293,326.5,322.4,0.222,0.283,0.286,0.28,0.217,0.05,0.077,0.07,0.031,0.04,1.103,2.403,3.2,3.897,4.917,-11.7,1.5
"2018-12-27 23:00:00",645,13.73,2.563,2.209,99.9,2.195,1.463,125.4,33.12,6.221,0.655,1.486,0.983,3.242,99.9,100.6,0.8,6,"2018-12-27 22:32:00",-0.011,194.2,0,0,497.1,7.032,-0.126,0.224,0.712,-2.91,2.179,275.3,-0.35,3.622,-2.195,0.586,-2.686,3.272,326.5,322.9,0.223,0.283,0.286,0.28,0.217,0.05,0.079,0.07,0.033,0.04,1.1,2.37,3.2,3.89,4.923,-11.7,1.5
"2018-12-27 23:30:00",646,13.73,2.665,2.259,100,2.256,0.927,119,37.44,4.978,0.405,1.239,0.669,2.848,99.8,100.6,1.1,6,"2018-12-27 23:04:00",-0.013,175.4,0,0,496.6,7.049,0.011,0.053,1.566,-3.036,2.263,275.4,-0.042,4.602,"NAN",1.577,-2.983,4.56,327.8,323.2,0.223,0.283,0.286,0.28,0.217,0.05,0.079,0.07,0.033,0.04,1.1,2.38,3.2,3.89,4.91,-11.7,1.5
"2018-12-28 00:00:00",647,13.72,2.748,2.289,100,2.286,0.941,119.6,44.65,3.838,0.541,1.338,0.769,1.795,99.7,100.5,1.1,6,"2018-12-27 23:31:00",-0.011,184.4,0,0,495.5,7.048,0.177,-0.029,1.444,-3.091,2.313,275.5,0.206,4.535,-0.29,1.621,-3.12,4.741,327.9,323.4,0.223,0.283,0.286,0.28,0.217,0.05,0.079,0.07,0.032,0.04,1.1,2.37,3.2,3.887,4.903,-11.70667,1.5
"2018-12-28 00:30:00",648,13.71,2.832,2.356,100,2.352,0.709,123.9,36.51,2.696,0.38,0.96,0.531,2.37,99.7,100.5,1.5,6,"2018-12-28 00:00:01",-0.011,176.1,0,0,496,7.11,0.213,-0.091,2.527,-3.21,2.411,275.6,0.304,5.737,-0.481,2.741,-3.301,6.041,329.5,323.7,0.224,0.283,0.286,0.28,0.217,0.05,0.079,0.07,0.032,0.04,1.103,2.38,3.2,3.887,4.907,-11.71317,1.5
"2018-12-28 01:00:00",649,13.71,2.885,2.3,100,2.296,0.47,107.2,39.37,2.367,0.308,1.371,0.288,1.088,99.7,100.5,0.4,6,"2018-12-28 00:31:00",-0.011,168.7,0,0,496.5,7.069,0.23,-0.199,0.783,-3.599,2.458,275.6,0.429,4.381,-0.966,1.013,-3.797,4.81,327.9,323.6,0.228,0.283,0.286,0.28,0.217,0.05,0.078,0.07,0.033,0.04,1.1,2.367,3.2,3.88,4.907,-11.71016,1.5
"2018-12-28 01:30:00",650,13.71,2.914,2.273,100,2.269,0.46,108.8,48.91,1.801,0.327,0.78,0.362,1.203,99.7,100.4,0.1,6,"2018-12-28 01:01:00",-0.011,169.1,0,0,495.5,7.045,0.241,-0.22,0.555,-3.88,2.512,275.7,0.461,4.435,-1.062,0.797,-4.1,4.896,328,323.5,0.229,0.283,0.286,0.28,0.217,0.051,0.079,0.07,0.032,0.04,1.103,2.363,3.2,3.897,4.9,-11.70333,1.5
"2018-12-28 02:00:00",651,13.71,2.943,2.393,100,2.389,0.535,114.4,30.78,2.468,0.145,0.549,0.342,1.17,99.6,100.4,0.1,6,"2018-12-28 01:45:00",-0.012,182.8,0,0,495.2,6.991,0.345,-0.175,0.885,-3.865,2.622,275.8,0.52,4.75,-0.544,1.231,-4.039,5.27,328.8,324.1,0.23,0.283,0.286,0.28,0.217,0.05,0.079,0.07,0.033,0.04,1.1,2.373,3.2,3.887,4.903,-11.7,1.5
"2018-12-28 02:30:00",652,13.71,3.022,2.618,100,2.614,0.49,124,24.16,2.148,0.051,0.533,0.321,0.793,99.6,100.3,0.6,6,"2018-12-28 02:25:00",-0.012,179.2,0,0,496.1,7.083,0.487,-0.138,3.465,-3.802,2.835,276,0.625,7.267,-0.319,3.953,-3.939,7.892,332.4,325.1,0.227,0.283,0.286,0.28,0.217,0.051,0.078,0.07,0.033,0.04,1.093,2.357,3.2,3.887,4.9,-11.7,1.5
"2018-12-28 03:00:00",653,13.71,3.15,2.849,100,2.845,0.244,108.6,33.14,1.506,0.131,0.516,0.086,0.628,99.5,100.3,0.4,6,"2018-12-28 02:37:00",-0.011,169.3,0,0,495.4,7.04,0.621,-0.208,2.483,-3.985,3.126,276.3,0.829,6.468,-0.38,3.104,-4.193,7.297,332.8,326.3,0.232,0.283,0.286,0.28,0.217,0.052,0.079,0.07,0.034,0.04,1.097,2.39,3.2,3.88,4.9,-11.7,1.5
"2018-12-28 03:30:00",654,13.7,3.293,3.033,100,3.029,0.232,136.1,35.09,1.43,0.103,0.598,0.068,0.546,99.5,100.2,0,6,"2018-12-28 03:00:01",-0.011,172.2,0,0,492.2,7.093,0.814,-0.24,2.842,-4.538,3.475,276.6,1.054,7.38,-0.313,3.656,-4.778,8.43,334.9,327.5,0.235,0.283,0.286,0.28,0.217,0.053,0.078,0.07,0.031,0.04,1.097,2.38,3.2,3.88,4.9,-11.7,1.5
"2018-12-28 04:00:00",655,13.7,3.468,3.248,100,3.244,0.242,101.7,61.1,1.11,0.165,0.581,0.226,0.645,99.4,100.2,0,0,"2018-12-28 03:30:01",-0.011,167.8,0,0,492.5,7.005,0.978,-0.157,2.769,-5.017,3.938,277.1,1.136,7.786,-0.168,3.747,-5.174,8.92,337,329.2,0.238,0.283,0.286,0.28,0.217,0.052,0.078,0.07,0.034,0.04,1.087,2.377,3.2,3.887,4.9,-11.7,1.5
"2018-12-28 04:30:00",656,13.7,3.642,3.395,100,3.392,0.401,114.8,76.43,2.816,0.205,0.829,0.206,1.318,99.4,100.1,0,0,"2018-12-28 04:00:01",-0.011,170.7,0,0,493.4,8.46,1.056,-0.192,2.645,-5.849,4.433,277.6,1.248,8.49,-0.28,3.701,-6.041,9.74,339.3,330.8,0.239,0.283,0.286,0.28,0.217,0.053,0.078,0.07,0.034,0.04,1.087,2.37,3.2,3.877,4.9,-11.7,1.5
"2018-12-28 05:00:00",657,13.68,4.036,5.309,100,5.308,1.704,187.7,21.32,5.901,0.689,2.028,1.247,4.146,99.3,100.1,0,0,"2018-12-28 04:30:01",-0.01,175.5,0,0,480.7,11.14,1.108,0.486,0.823,-7.508,6.547,279.7,0.621,8.33,0.317,1.93,-7.022,8.95,347.8,339.5,0.239,0.283,0.286,0.28,0.217,0.054,0.079,0.07,0.032,0.04,1.06,2.383,3.2,3.89,4.9,-11.7,1.5
"2018-12-28 05:30:00",658,13.66,5.154,7.935,100,7.938,2.19,195.2,21.08,7.093,1.164,2.851,1.739,5.543,99.3,100.1,0.2,0,"2018-12-28 05:00:01",-0.011,175,0,0,472,7.224,0.465,0.018,-0.234,-9.6,8.1,281.2,0.447,9.37,-0.109,0.23,-9.58,9.81,354.5,345.2,0.232,0.283,0.286,0.28,0.217,0.055,0.079,0.07,0.033,0.04,1.08,2.357,3.2,3.887,4.9,-11.7,1.5
"2018-12-28 06:00:00",659,13.63,6.236,8.73,100,8.74,2.069,191.3,23.91,6.746,1.16,3.064,1.72,5.231,99.3,100.1,0,6,"2018-12-28 05:44:00",-0.012,184.8,0,0,470.2,7.16,-0.013,-0.006,-0.907,-11.77,8.74,281.9,-0.007,10.86,"INF",-0.921,-11.77,10.85,357.1,346.3,0.229,0.283,0.286,0.28,0.217,0.055,0.077,0.07,0.033,0.04,1.073,2.37,3.2,3.877,4.9,-11.7,1.5
"2018-12-28 06:30:00",660,13.6,7.022,8.91,100,8.92,1.865,193.7,22.73,4.87,1.031,2.455,1.522,4.195,99.3,100,0.1,0,"2018-12-28 06:00:01",-0.012,192.9,0,0,470.4,7.175,-0.15,-0.143,-0.732,-11.91,8.95,282.1,-0.007,11.18,"-INF",-0.882,-12.06,11.17,358.4,347.2,0.23,0.283,0.286,0.28,0.217,0.056,0.079,0.07,0.033,0.04,1.083,2.357,3.2,3.88,4.9,-11.69667,1.5
"2018-12-28 07:00:00",661,13.6,7.576,8.99,100,9,1.655,185.4,25.7,6.223,0.915,2.769,1.307,4.622,99.3,100,0.1,6,"2018-12-28 06:34:00",-0.013,194.4,0,0,472.1,7.223,-0.039,-0.298,-0.616,-11.88,9.09,282.2,0.259,11.26,"NAN",-0.655,-12.17,11.52,359.2,347.9,0.231,0.283,0.286,0.28,0.217,0.054,0.078,0.07,0.033,0.04,1.067,2.36,3.2,3.887,4.9,-11.68,1.49
"2018-12-28 07:30:00",662,13.58,7.95,8.99,100,9,1.545,182.1,28.01,4.643,0.895,2.799,1.273,4.096,99.3,100,0.1,6,"2018-12-28 07:06:00",-0.013,189.1,0,0,474.9,7.148,-0.078,-0.336,-0.603,-12.06,9.11,282.3,0.257,11.46,"NAN",-0.681,-12.4,11.72,359.3,347.9,0.234,0.283,0.286,0.28,0.217,0.057,0.079,0.07,0.035,0.04,1.047,2.38,3.2,3.893,4.9,-11.66683,1.45
"2018-12-28 08:00:00",663,13.57,8.19,8.95,100,8.95,1.223,178.5,27.51,3.452,0.791,2.061,1.056,2.354,99.3,100,0,6,"2018-12-28 07:32:00",-0.012,187.1,0,0,475.9,7.221,0.311,-0.365,-0.465,-12.11,9.06,282.2,0.676,11.64,"NAN",-0.154,-12.47,12.32,359.2,347.5,0.238,0.283,0.286,0.28,0.217,0.056,0.078,0.07,0.033,0.04,1.053,2.363,3.2,3.89,4.9,-11.63333,1.42
"2018-12-28 08:30:00",664,13.57,8.37,9.02,100,9.03,1.412,179.5,28.89,4.144,0.805,2.819,1.091,3.439,99.2,100,0,0,"2018-12-28 08:00:01",-0.013,188.4,0,0,476.6,7.233,3.586,0.037,-0.446,-11.83,9.13,282.3,3.549,11.39,-0.056,3.14,-11.8,14.94,359.6,348.2,0.241,0.283,0.286,0.28,0.217,0.059,0.078,0.07,0.032,0.04,1.053,2.377,3.2,3.88,4.9,-11.60333,1.403
"2018-12-28 09:00:00",665,13.56,8.58,9.31,100,9.32,1.723,183.6,24.7,5.327,1.012,2.406,1.357,2.914,99.2,100,0,0,"2018-12-28 08:30:01",-0.012,190.2,0,0,475.4,7.194,11.99,1.147,-0.545,-11.11,9.33,282.5,10.84,10.56,0.086,11.45,-9.96,21.41,360.5,349.9,0.245,0.283,0.286,0.28,0.217,0.059,0.078,0.07,0.033,0.04,1.067,2.353,3.2,3.893,4.9,-11.6,1.4
"2018-12-28 09:30:00",666,13.55,8.91,9.74,99.8,9.73,1.924,194.6,22.7,5.623,1.076,3.655,1.576,4.408,99.2,100,0,0,"2018-12-28 09:00:01",-0.012,190.6,0,0,472.6,7.174,43.26,4.858,-2.545,-10.24,9.66,282.8,38.4,7.69,0.111,40.71,-5.378,46.09,360.1,352.5,0.248,0.283,0.286,0.28,0.217,0.057,0.079,0.07,0.033,0.04,1.073,2.35,3.2,3.877,4.9,-11.6,1.4
"2018-12-28 10:00:00",667,13.54,9.34,10.14,99.1,10.01,2.025,191.4,25.09,4.879,1.142,3.376,1.662,4.195,99.2,99.9,0,0,"2018-12-28 09:30:01",-0.012,191.9,0,0,468.7,7.242,64.14,7.249,-2.207,-9.07,10.07,283.2,56.89,6.86,0.113,61.93,-1.819,63.75,362.6,355.7,0.249,0.283,0.286,0.28,0.217,0.058,0.078,0.07,0.032,0.04,1.057,2.36,3.2,3.89,4.9,-11.6,1.4
"2018-12-28 10:30:00",668,13.53,9.89,10.69,97.7,10.34,2.001,195.8,24.56,6.122,1.114,3.556,1.643,5.444,99.1,99.9,0,0,"2018-12-28 10:00:01",-0.011,178,0,0,465.8,7.253,79.8,8.95,-2.152,-8.19,10.54,283.7,70.85,6.037,0.112,77.65,0.762,76.88,365.1,359.1,0.25,0.283,0.287,0.28,0.217,0.058,0.078,0.07,0.033,0.04,1.08,2.347,3.2,3.883,4.9,-11.6,1.4
"2018-12-28 11:00:00",669,13.51,10.34,10.91,97.3,10.5,1.845,199.8,24.5,5.285,1.126,3.177,1.613,3.866,99.1,99.9,0,0,"2018-12-28 10:30:01",-0.011,174.7,0,0,464.5,7.05,64.55,7.217,-1.532,-8.47,10.8,284,57.33,6.936,0.112,63.02,-1.251,64.27,367.1,360.2,0.247,0.283,0.287,0.28,0.217,0.058,0.079,0.07,0.034,0.04,1.073,2.34,3.2,3.867,4.9,-11.6,1.4
"2018-12-28 11:30:00",670,13.5,10.72,11.07,97.3,10.68,1.542,202.5,23.48,5.159,0.949,2.159,1.326,3.801,99,99.8,0,0,"2018-12-28 11:00:01",-0.009,190.3,0,0,463.7,7.093,68.3,7.472,-1.707,-8.53,11.04,284.2,60.83,6.826,0.11,66.59,-1.061,67.65,368.1,361.3,0.246,0.284,0.287,0.28,0.217,0.06,0.079,0.07,0.033,0.04,1.087,2.347,3.2,3.883,4.9,-11.6,1.4
"2018-12-28 12:00:00",671,13.5,11,11.4,96,10.8,2.241,199.9,24.23,5.894,1.369,3.392,1.885,5.197,99,99.8,0,0,"2018-12-28 11:30:01",-0.008,192.4,0,0,462.4,7.269,64.77,7.277,-3.129,-8.77,11.26,284.4,57.49,5.637,0.113,61.64,-1.489,63.13,367.9,362.2,0.241,0.284,0.287,0.28,0.217,0.058,0.079,0.07,0.034,0.04,1.1,2.343,3.2,3.873,4.9,-11.56683,1.4
"2018-12-28 12:30:00",672,13.49,11.42,11.77,94.7,10.95,1.916,209.2,23.91,4.821,1.278,3.359,1.664,4.096,98.9,99.7,0,0,"2018-12-28 12:00:01",-0.008,188,0,0,460.2,7.242,104.6,11.58,-8.58,-7.831,11.66,284.8,93,-0.753,0.11,96,3.752,92.2,364.5,365.2,0.239,0.284,0.287,0.28,0.217,0.059,0.078,0.07,0.034,0.04,1.1,2.343,3.2,3.887,4.9,-11.53,1.4
"2018-12-28 13:00:00",673,13.47,11.62,11.6,96.8,11.12,1.602,207,27.76,5.083,1.048,2.933,1.438,3.916,99,99.7,0,0,"2018-12-28 12:30:01",-0.011,188.6,0,0,461.2,7.277,56.99,6.107,-3.121,-8.65,11.58,284.7,50.88,5.527,0.107,53.87,-2.541,56.41,369.5,364,0.239,0.284,0.287,0.28,0.217,0.058,0.078,0.07,0.033,0.04,1.11,2.363,3.2,3.873,4.9,-11.50333,1.4
"2018-12-28 13:30:00",674,13.47,11.73,11.85,95.1,11.1,1.643,203.1,23.2,4.762,1.137,2.587,1.534,3.709,98.9,99.7,0,0,"2018-12-28 13:00:01",-0.012,182.4,0,0,459.8,7.236,67.53,7.422,-4.139,-8.74,11.77,284.9,60.11,4.604,0.11,63.39,-1.321,64.71,369.5,364.9,0.239,0.284,0.287,0.28,0.217,0.06,0.079,0.07,0.034,0.04,1.14,2.34,3.2,3.873,4.9,-11.5,1.4
"2018-12-28 14:00:00",675,13.47,12.01,12.26,92.9,11.15,1.945,197.6,24.23,5.008,1.175,2.785,1.655,4.014,98.9,99.7,0,0,"2018-12-28 13:30:01",-0.013,183.8,0,0,460.5,7.201,116.8,12.87,-16.45,-8.79,12.2,285.4,104,-7.653,0.11,100.4,4.079,96.3,359.5,367.1,0.24,0.284,0.287,0.28,0.217,0.06,0.079,0.07,0.033,0.04,1.16,2.356,3.2,3.883,4.9,-11.5,1.41
"2018-12-28 14:30:00",676,13.45,12.58,12.75,90.7,11.29,1.72,208.5,24.76,4.839,1.152,3.854,1.48,5.148,98.9,99.7,0,0,"2018-12-28 14:00:01",-0.013,184.3,0,0,459.5,6.981,126.6,13.96,-9.66,-7.523,12.77,285.9,112.7,-2.139,0.108,117,6.44,110.5,369.3,371.4,0.241,0.284,0.287,0.28,0.217,0.06,0.078,0.07,0.034,0.04,1.187,2.36,3.2,3.863,4.9,-11.5,1.493
"2018-12-28 15:00:00",677,13.44,12.75,12.56,91.2,11.18,1.76,210,25.37,4.678,1.112,2.587,1.527,4.129,98.9,99.7,0,0,"2018-12-28 14:30:01",-0.013,187.9,0,0,458.3,7.293,63.27,6.695,-8.16,-9.39,12.62,285.8,56.57,1.234,0.104,55.11,-2.696,57.81,370,368.7,0.244,0.285,0.287,0.28,0.217,0.06,0.079,0.07,0.033,0.04,1.21,2.34,3.2,3.867,4.9,-11.5,1.5
"2018-12-28 15:30:00",678,13.44,12.66,12.36,91.4,11,1.514,217.7,24.63,4.053,0.866,1.972,1.234,2.962,98.9,99.7,0,0,"2018-12-28 15:00:01",-0.014,185.9,0,0,458.4,7.101,30.34,3.04,-6.941,-11.18,12.47,285.6,27.3,4.243,0.099,23.4,-8.14,31.54,370.4,366.1,0.245,0.285,0.287,0.28,0.217,0.061,0.08,0.07,0.033,0.04,1.26,2.314,3.2,3.87,4.9,-11.5,1.5
"2018-12-28 16:00:00",679,13.44,12.41,12.17,90.9,10.74,1.687,219.1,22.44,6.03,0.988,2.998,1.408,3.439,98.9,99.7,0,0,"2018-12-28 15:30:01",-0.014,184,0,0,457.4,7.269,21.43,2.233,-9.56,-11.86,12.28,285.4,19.19,2.296,0.104,11.86,-9.63,21.49,366.8,364.5,0.244,0.285,0.287,0.28,0.217,0.06,0.079,0.07,0.033,0.04,1.353,2.307,3.2,3.873,4.9,-11.48667,1.5
"2018-12-28 16:30:00",680,13.45,12.13,12.05,89.7,10.42,1.744,214.4,23.96,5.413,1.132,2.307,1.53,3.192,98.9,99.6,0,0,"2018-12-28 16:00:01",-0.015,182.6,0,0,456.2,7.304,30.71,3.606,-39.9,-13.76,12.08,285.2,27.1,-26.15,0.118,-9.2,-10.15,0.954,335.4,361.5,0.241,0.285,0.287,0.28,0.217,0.06,0.078,0.07,0.034,0.04,1.427,2.337,3.2,3.87,4.9,-11.44,1.51
"2018-12-28 17:00:00",681,13.46,11.43,11.56,90.3,10.05,2.106,219.9,24.99,6.554,1.221,3.343,1.759,4.343,98.9,99.7,0,0,"2018-12-28 16:30:01",-0.014,182.1,-0.01,-0.01,456.1,7.284,4.654,1.1,-45.38,-15.55,11.55,284.7,3.554,-29.84,0.303,-40.73,-14.45,-26.28,327.1,357,0.244,0.286,0.287,0.28,0.217,0.06,0.08,0.07,0.032,0.04,1.527,2.303,3.2,3.877,4.9,-11.4035,1.6
"2018-12-28 17:30:00",682,13.46,11.11,11.57,89.5,9.91,1.872,224.5,25.31,5.455,1.147,2.883,1.546,3.275,98.9,99.7,0,0,"2018-12-28 17:00:01",-0.015,180.5,0,0,455.3,7.185,-0.631,0.303,-31.24,-13.94,11.56,284.7,-0.935,-17.3,-0.352,-31.87,-13.64,-18.23,341.3,358.6,0.244,0.286,0.287,0.28,0.217,0.06,0.078,0.07,0.033,0.04,1.61,2.36,3.2,3.883,4.9,-11.4,1.643
"2018-12-28 18:00:00",683,13.47,10.61,10.92,90.8,9.49,1.509,222,25.57,4.069,0.884,2.175,1.321,3.38,98.9,99.7,0,0,"2018-12-28 17:30:01",-0.016,178.9,-0.01,-0.01,456.8,7.251,-3.015,0.423,-65.03,-17.81,11.03,284.2,-3.439,-47.22,-0.139,-68.05,-17.39,-50.66,304.8,352,0.24,0.286,0.287,0.28,0.217,0.061,0.08,0.07,0.032,0.04,1.697,2.313,3.2,3.87,4.9,-11.4,1.7
"2018-12-28 18:30:00",684,13.49,9.72,9.93,93.7,8.97,1.543,224,22.07,4.103,0.722,2.423,1.282,2.699,98.9,99.7,0,0,"2018-12-28 18:00:01",-0.016,178.6,-0.01,-0.01,458.7,7.02,-3.524,0.838,-77.68,-20.3,10.3,283.4,-4.362,-57.38,-0.244,-81.2,-19.47,-61.74,288.3,345.7,0.24,0.286,0.287,0.28,0.217,0.06,0.08,0.07,0.035,0.04,1.833,2.31,3.2,3.873,4.9,-11.4,1.793
"2018-12-28 19:00:00",685,13.5,8.8,9.02,97.9,8.71,1.408,221.8,20.52,4.165,0.571,1.865,1.141,2.025,98.9,99.7,0,0,"2018-12-28 18:30:01",-0.016,178.8,-0.01,-0.01,460.5,7.179,-3.442,0.845,-78.35,-21.48,9.82,283,-4.287,-56.87,-0.248,-81.8,-20.63,-61.15,285.2,342.1,0.241,0.287,0.287,0.28,0.217,0.06,0.08,0.07,0.033,0.04,1.91,2.35,3.2,3.863,4.9,-11.4,1.857
"2018-12-28 19:30:00",686,13.52,8.33,9.51,96,8.9,1.817,217.9,23.87,5.022,0.965,3.557,1.521,4.409,98.9,99.7,0,0,"2018-12-28 19:00:01",-0.014,177.3,-0.01,-0.01,460.4,7.258,-3.261,1.106,-80.6,-19.5,9.7,282.8,-4.367,-61.12,-0.36,-83.9,-18.4,-65.49,282.3,343.4,0.243,0.287,0.287,0.28,0.217,0.06,0.079,0.07,0.033,0.04,2.003,2.357,3.2,3.863,4.9,-11.4,1.917
"2018-12-28 20:00:00",687,13.53,8.24,10.27,85.5,7.953,2.104,219.7,25.46,6.6,1.284,3.343,1.79,3.982,98.9,99.7,0,0,"2018-12-28 19:30:01",-0.014,178.1,0,0,459,6.871,-2.652,1.205,-74.27,-18.02,10.16,283.3,-3.858,-56.25,-0.466,-76.93,-16.82,-60.11,291,347.3,0.238,0.287,0.287,0.28,0.217,0.06,0.08,0.07,0.034,0.04,2.09,2.343,3.2,3.863,4.9,-11.4,2
"2018-12-28 20:30:00",688,13.53,8.06,9.75,83.5,7.107,2.017,225.5,25.92,6.341,1.151,3.491,1.668,4.672,98.9,99.7,0,0,"2018-12-28 20:00:01",-0.014,178.2,0,0,459.7,7.11,-3.562,0.685,-84.5,-19.23,9.87,283,-4.247,-65.23,-0.198,-88,-18.54,-69.48,279.3,344.6,0.238,0.288,0.287,0.28,0.217,0.06,0.08,0.07,0.032,0.04,2.13,2.36,3.2,3.87,4.9,-11.4,2.033
"2018-12-28 21:00:00",689,13.54,7.625,8.83,84.6,6.389,2.193,234.5,29.26,9.55,1.075,3.754,1.698,5.148,98.9,99.7,0,0,"2018-12-28 20:30:01",-0.015,179.5,0,0,462.8,7.287,-3.487,0.624,-80.1,-18.76,9.14,282.3,-4.111,-61.31,-0.186,-83.6,-18.13,-65.42,280,341.3,0.238,0.288,0.287,0.28,0.217,0.061,0.079,0.07,0.032,0.04,2.18,2.363,3.2,3.86,4.9,-11.4,2.1
"2018-12-28 21:30:00",690,13.56,7.371,7.81,80.2,4.622,3.171,277.8,37.34,9.07,1.662,6.681,2.549,9.28,99,99.8,0,0,"2018-12-28 21:00:01",-0.013,179.2,-0.01,-0.01,471.5,7.743,-1.319,-0.722,-21.66,-11.29,8.13,281.3,-0.597,-10.37,0.437,-22.98,-12.01,-10.97,333.3,343.6,0.242,0.288,0.287,0.28,0.217,0.06,0.08,0.07,0.035,0.04,2.2,2.387,3.2,3.863,4.9,-11.4,2.1
"2018-12-28 22:00:00",691,13.57,6.869,6.212,82.3,3.422,2.541,266.4,39.5,9.16,1.357,5.876,2.054,9.84,99.1,99.9,0,0,"2018-12-28 21:30:01",-0.012,181.1,0,0,480.2,7.028,-2.279,-0.283,-46.34,-9.8,6.441,279.6,-1.996,-36.55,0.199,-48.62,-10.08,-38.54,300.1,336.7,0.246,0.288,0.287,0.28,0.217,0.06,0.079,0.07,0.033,0.04,2.27,2.393,3.2,3.863,4.9,-11.4,2.173
"2018-12-28 22:30:00",692,13.58,6.191,5.385,78.92,2.025,2.631,255.5,36.81,10.29,1.383,5.547,2.099,8.03,99.1,99.9,0,0,"2018-12-28 22:00:01",-0.011,179.6,0.01,0,483.7,6.752,-1.043,-0.041,-24.27,-7.705,5.533,278.7,-1.003,-16.57,0.069,-25.31,-7.746,-17.57,317.7,334.3,0.249,0.289,0.287,0.28,0.217,0.06,0.078,0.07,0.035,0.04,2.297,2.407,3.2,3.87,4.9,-11.4,2.2
"2018-12-28 23:00:00",693,13.6,5.755,4.965,78.89,1.61,2.475,249.6,38.91,11.83,1.261,4.862,1.849,8.57,99.2,100,0,0,"2018-12-28 22:30:01",-0.01,177.7,0,0,486,7.136,-1.254,-0.009,-15.27,-6.139,5.054,278.2,-1.245,-9.13,0.011,-16.52,-6.147,-10.38,324.4,333.5,0.237,0.289,0.287,0.28,0.217,0.059,0.08,0.07,0.033,0.04,2.297,2.43,3.2,3.867,4.9,-11.4,2.243
"2018-12-28 23:30:00",694,13.61,5.412,4.602,79.02,1.28,2.572,244.4,33.89,7.919,1.335,4.1,1.923,6.139,99.2,100,0,0,"2018-12-28 23:00:01",-0.011,180.9,0.01,0,486.7,7.122,-0.748,-0.074,-16.25,-5.739,4.685,277.8,-0.674,-10.51,0.094,-17,-5.813,-11.19,321.6,332.1,0.237,0.289,0.287,0.28,0.217,0.059,0.079,0.07,0.034,0.04,2.317,2.467,3.2,3.873,4.9,-11.4,2.327
"2018-12-29 00:00:00",695,13.61,5.119,4.075,81.4,1.185,2.395,247.4,40.65,8.43,1.3,4.247,1.882,7.171,99.3,100.1,0,0,"2018-12-28 23:30:01",-0.011,187,0.01,0,489.4,6.805,-1.127,-0.182,-16.35,-4.818,4.149,277.3,-0.945,-11.53,0.131,-17.47,-4.999,-12.47,318.9,330.4,0.238,0.289,0.287,0.28,0.217,0.059,0.081,0.07,0.033,0.04,2.333,2.447,3.2,3.867,4.9,-11.4,2.4
"2018-12-29 00:30:00",696,13.63,4.77,3.608,81.5,0.738,2.528,247,37.86,8.89,1.365,4.84,2.003,8.26,99.4,100.2,0,0,"2018-12-29 00:00:01",-0.011,183.4,0.01,0,491.2,7.089,-0.91,-0.015,-16.7,-4.24,3.643,276.8,-0.895,-12.46,0.003,-17.61,-4.255,-13.35,316.1,328.6,0.239,0.289,0.287,0.28,0.217,0.059,0.08,0.07,0.034,0.04,2.347,2.457,3.2,3.847,4.9,-11.4,2.4
